city,country,max_temp,humidity,cloudiness,wind_speed,lat,lon,date
Tura,IN,60.26,69,19,1.79,25.52,90.22,1607879667
São Miguel do Araguaia,BR,90.61,49,62,5.37,-13.28,-50.16,1607879881
Sun Valley,US,34.0,86,75,10.29,39.6,-119.78,1607879840
Zhigansk,RU,-42.77,79,64,13.11,66.77,123.37,1607879628
Namatanai,PG,80.69,79,100,4.12,-3.67,152.43,1607879634
Lakatoro,VU,80.58,81,98,9.04,-16.1,167.42,1607879913
Tuatapere,NZ,51.01,79,32,8.01,-46.13,167.68,1607879637
Pandan,PH,79.57,86,44,6.93,14.05,124.17,1607879913
Kasongo-Lunda,CD,72.68,90,94,1.63,-6.47,16.82,1607879913
Sedalia,US,35.01,80,90,4.7,38.7,-93.23,1607879914
Kanigiri,IN,69.4,78,6,2.93,15.4,79.52,1607879914
Ormara,PK,72.45,33,0,2.86,25.21,64.64,1607879723
Paamiut,GL,22.39,95,100,39.8,61.99,-49.67,1607879664
Lakes Entrance,AU,57.0,94,97,2.77,-37.88,147.98,1607879914
Rantauprapat,ID,74.43,91,97,2.1,2.1,99.83,1607879914
Lavrentiya,RU,14.76,89,100,28.45,65.58,-171.0,1607879623
Port Hawkesbury,CA,42.8,100,90,10.29,45.62,-61.35,1607879690
Noril'sk,RU,-5.8,76,40,6.71,69.35,88.2,1607879915
Gamba,GA,78.53,84,45,9.4,-2.65,10.0,1607879618
Gafanha da Encarnação,PT,61.0,87,75,10.29,40.62,-8.73,1607879915
Isangel,VU,79.09,83,67,20.67,-19.55,169.27,1607879648
Kohima,IN,47.84,98,13,1.32,25.67,94.12,1607879915
Teya,RU,4.91,91,100,8.23,60.38,92.63,1607879915
Sonoita,MX,48.0,27,0,18.61,31.85,-112.83,1607879916
Saint Anthony,US,26.6,73,90,9.17,45.02,-93.22,1607879648
Chiredzi,ZW,79.07,74,74,6.35,-21.05,31.67,1607879916
Burnie,AU,60.01,96,79,8.99,-41.07,145.92,1607879677
Cochabamba,BO,87.8,19,20,6.93,-17.39,-66.16,1607879916
Hurricane,US,35.01,57,1,6.93,37.18,-113.29,1607879916
Freetown,SL,87.8,66,20,17.22,8.48,-13.23,1607879916
Xapuri,BR,89.6,59,75,12.75,-10.65,-68.5,1607879916
Pilar,BR,82.4,74,75,13.87,-9.6,-35.96,1607879917
Nkoteng,CM,80.96,54,74,5.99,4.52,12.03,1607879917
Yar-Sale,RU,12.88,94,100,6.31,66.83,70.83,1607879646
Dubuque,US,26.01,85,90,5.82,42.48,-90.87,1607879634
Koutiala,ML,94.59,11,2,5.53,12.39,-5.46,1607879917
Pierre,US,30.99,74,90,11.41,44.37,-100.35,1607879648
San Cristobal,VE,86.0,51,20,4.7,7.77,-72.22,1607879625
Puerto Princesa City,PH,78.93,82,46,1.28,9.74,118.74,1607879917
Saint George,US,35.01,59,1,6.93,37.1,-113.58,1607879627
Burgeo,CA,32.14,97,100,23.78,47.62,-57.62,1607879917
Atasū,KZ,5.18,86,67,0.83,48.68,71.64,1607879918
